step,tokens,destination,source_depth,mean_weight,mean_entropy
190,100139008,block_07_mlp,0,0.07069393992424011,2.608924388885498
190,100139008,block_07_mlp,1,0.09231705218553543,2.608924388885498
190,100139008,block_07_mlp,2,0.09044680744409561,2.608924388885498
190,100139008,block_07_mlp,3,0.05643825978040695,2.608924388885498
190,100139008,block_07_mlp,4,0.09047071635723114,2.608924388885498
190,100139008,block_07_mlp,5,0.059607118368148804,2.608924388885498
190,100139008,block_07_mlp,6,0.07123744487762451,2.608924388885498
190,100139008,block_07_mlp,7,0.06619751453399658,2.608924388885498
190,100139008,block_07_mlp,8,0.06496069580316544,2.608924388885498
190,100139008,block_07_mlp,9,0.07230120897293091,2.608924388885498
190,100139008,block_07_mlp,10,0.0625058114528656,2.608924388885498
190,100139008,block_07_mlp,11,0.06993943452835083,2.608924388885498
190,100139008,block_07_mlp,12,0.05973852053284645,2.608924388885498
190,100139008,block_07_mlp,13,0.07314547896385193,2.608924388885498
190,100139008,block_08_attention,0,0.06486102938652039,2.7031593322753906
190,100139008,block_08_attention,1,0.07260170578956604,2.7031593322753906
190,100139008,block_08_attention,2,0.07163233309984207,2.7031593322753906
190,100139008,block_08_attention,3,0.06634461879730225,2.7031593322753906
190,100139008,block_08_attention,4,0.07085341215133667,2.7031593322753906
190,100139008,block_08_attention,5,0.06633074581623077,2.7031593322753906
190,100139008,block_08_attention,6,0.06772853434085846,2.7031593322753906
190,100139008,block_08_attention,7,0.06909698992967606,2.7031593322753906
190,100139008,block_08_attention,8,0.06508871912956238,2.7031593322753906
190,100139008,block_08_attention,9,0.07114583253860474,2.7031593322753906
190,100139008,block_08_attention,10,0.06236576661467552,2.7031593322753906
190,100139008,block_08_attention,11,0.06770328432321548,2.7031593322753906
190,100139008,block_08_attention,12,0.060514964163303375,2.7031593322753906
190,100139008,block_08_attention,13,0.06633888185024261,2.7031593322753906
190,100139008,block_08_attention,14,0.0573931485414505,2.7031593322753906
190,100139008,block_08_mlp,0,0.06172763556241989,2.7402892112731934
190,100139008,block_08_mlp,1,0.0824982225894928,2.7402892112731934
190,100139008,block_08_mlp,2,0.07917191088199615,2.7402892112731934
190,100139008,block_08_mlp,3,0.05439054220914841,2.7402892112731934
190,100139008,block_08_mlp,4,0.07985727488994598,2.7402892112731934
190,100139008,block_08_mlp,5,0.05626209080219269,2.7402892112731934
190,100139008,block_08_mlp,6,0.06437775492668152,2.7402892112731934
190,100139008,block_08_mlp,7,0.06267617642879486,2.7402892112731934
190,100139008,block_08_mlp,8,0.05609960854053497,2.7402892112731934
190,100139008,block_08_mlp,9,0.06930167227983475,2.7402892112731934
190,100139008,block_08_mlp,10,0.053725846111774445,2.7402892112731934
190,100139008,block_08_mlp,11,0.064754918217659,2.7402892112731934
190,100139008,block_08_mlp,12,0.04978293552994728,2.7402892112731934
190,100139008,block_08_mlp,13,0.06590566039085388,2.7402892112731934
190,100139008,block_08_mlp,14,0.04438890516757965,2.7402892112731934
190,100139008,block_08_mlp,15,0.05507883429527283,2.7402892112731934
190,100139008,block_09_attention,0,0.05852513015270233,2.8264317512512207
190,100139008,block_09_attention,1,0.06701862812042236,2.8264317512512207
190,100139008,block_09_attention,2,0.06540001928806305,2.8264317512512207
190,100139008,block_09_attention,3,0.05709462612867355,2.8264317512512207
190,100139008,block_09_attention,4,0.06624625623226166,2.8264317512512207
190,100139008,block_09_attention,5,0.06047812104225159,2.8264317512512207
190,100139008,block_09_attention,6,0.06260053813457489,2.8264317512512207
190,100139008,block_09_attention,7,0.06163319572806358,2.8264317512512207
190,100139008,block_09_attention,8,0.059465501457452774,2.8264317512512207
190,100139008,block_09_attention,9,0.06261153519153595,2.8264317512512207
190,100139008,block_09_attention,10,0.05562924966216087,2.8264317512512207
190,100139008,block_09_attention,11,0.060122162103652954,2.8264317512512207
190,100139008,block_09_attention,12,0.0539095513522625,2.8264317512512207
190,100139008,block_09_attention,13,0.056373246014118195,2.8264317512512207
190,100139008,block_09_attention,14,0.05141768977046013,2.8264317512512207
190,100139008,block_09_attention,15,0.05217750370502472,2.8264317512512207
190,100139008,block_09_attention,16,0.04929705709218979,2.8264317512512207
190,100139008,block_09_mlp,0,0.05617041513323784,2.8363189697265625
190,100139008,block_09_mlp,1,0.080966055393219,2.8363189697265625
190,100139008,block_09_mlp,2,0.07526141405105591,2.8363189697265625
190,100139008,block_09_mlp,3,0.05084936320781708,2.8363189697265625
190,100139008,block_09_mlp,4,0.07625777274370193,2.8363189697265625
190,100139008,block_09_mlp,5,0.05370837450027466,2.8363189697265625
190,100139008,block_09_mlp,6,0.05967045575380325,2.8363189697265625
190,100139008,block_09_mlp,7,0.06103219836950302,2.8363189697265625
190,100139008,block_09_mlp,8,0.050886549055576324,2.8363189697265625
190,100139008,block_09_mlp,9,0.06813714653253555,2.8363189697265625
190,100139008,block_09_mlp,10,0.04749719053506851,2.8363189697265625
190,100139008,block_09_mlp,11,0.06164845451712608,2.8363189697265625
190,100139008,block_09_mlp,12,0.0430307611823082,2.8363189697265625
190,100139008,block_09_mlp,13,0.06288611888885498,2.8363189697265625
190,100139008,block_09_mlp,14,0.03674276918172836,2.8363189697265625
190,100139008,block_09_mlp,15,0.04910910874605179,2.8363189697265625
190,100139008,block_09_mlp,16,0.032587289810180664,2.8363189697265625
190,100139008,block_09_mlp,17,0.03355855494737625,2.8363189697265625
190,100139008,block_10_attention,0,0.05366288870573044,2.939255714416504
190,100139008,block_10_attention,1,0.05934932827949524,2.939255714416504
190,100139008,block_10_attention,2,0.05772682651877403,2.939255714416504
190,100139008,block_10_attention,3,0.052289023995399475,2.939255714416504
190,100139008,block_10_attention,4,0.059150584042072296,2.939255714416504
190,100139008,block_10_attention,5,0.05278414487838745,2.939255714416504
190,100139008,block_10_attention,6,0.05654028430581093,2.939255714416504
190,100139008,block_10_attention,7,0.05368693545460701,2.939255714416504
190,100139008,block_10_attention,8,0.05518703907728195,2.939255714416504
190,100139008,block_10_attention,9,0.05323726683855057,2.939255714416504
190,100139008,block_10_attention,10,0.05289715528488159,2.939255714416504
190,100139008,block_10_attention,11,0.05283625051379204,2.939255714416504
190,100139008,block_10_attention,12,0.05193725973367691,2.939255714416504
190,100139008,block_10_attention,13,0.05178135633468628,2.939255714416504
190,100139008,block_10_attention,14,0.05038925260305405,2.939255714416504
190,100139008,block_10_attention,15,0.04828045144677162,2.939255714416504
190,100139008,block_10_attention,16,0.048233915120363235,2.939255714416504
190,100139008,block_10_attention,17,0.04345038905739784,2.939255714416504
190,100139008,block_10_attention,18,0.046579644083976746,2.939255714416504
190,100139008,block_10_mlp,0,0.052673861384391785,2.9343631267547607
190,100139008,block_10_mlp,1,0.07442639768123627,2.9343631267547607
190,100139008,block_10_mlp,2,0.06987456977367401,2.9343631267547607
190,100139008,block_10_mlp,3,0.048492901027202606,2.9343631267547607
190,100139008,block_10_mlp,4,0.06973272562026978,2.9343631267547607
190,100139008,block_10_mlp,5,0.0531514547765255,2.9343631267547607
190,100139008,block_10_mlp,6,0.05635033920407295,2.9343631267547607
190,100139008,block_10_mlp,7,0.059790655970573425,2.9343631267547607
190,100139008,block_10_mlp,8,0.048450589179992676,2.9343631267547607
190,100139008,block_10_mlp,9,0.06610707938671112,2.9343631267547607
190,100139008,block_10_mlp,10,0.04495351389050484,2.9343631267547607
190,100139008,block_10_mlp,11,0.05931619554758072,2.9343631267547607
190,100139008,block_10_mlp,12,0.04108555614948273,2.9343631267547607
190,100139008,block_10_mlp,13,0.05875208228826523,2.9343631267547607
190,100139008,block_10_mlp,14,0.034837380051612854,2.9343631267547607
190,100139008,block_10_mlp,15,0.046098530292510986,2.9343631267547607
190,100139008,block_10_mlp,16,0.031088126823306084,2.9343631267547607
