completed_updates,logical_targets,ce_pass_targets,weighted_multipass_training_loss,training_seconds,cumulative_training_seconds,targets_per_second,peak_allocated_bytes,timestamp
14942,7833911296,15912140800,3.067035675048828,2.502495527267456,38147.700645923615,209506.06875708766,46773069824,1788668640.476252
14943,7834435584,15913189376,3.046036720275879,2.5883469581604004,38150.288992881775,202557.07927681532,46773069824,1788668643.0730114
14944,7834959872,15914762240,3.070488452911377,3.8185908794403076,38154.107583761215,137298.81428849092,46773069824,1788668646.904179
14945,7835484160,15915810816,3.073643684387207,2.5066306591033936,38156.61421442032,209160.4513397018,46773069824,1788668649.421076
14946,7836008448,15916859392,3.0485010147094727,2.503587007522583,38159.11780142784,209414.73111366224,46773069824,1788668651.932786
14947,7836532736,15917907968,3.0282678604125977,2.502293109893799,38161.620094537735,209523.0162793565,46773069824,1788668654.4429286
14948,7837057024,15918956544,3.0909996032714844,2.503615379333496,38164.12370991707,209412.35795554754,46773069824,1788668656.9549906
14949,7837581312,15920005120,3.0820603370666504,2.5050301551818848,38166.62874007225,209294.0873048822,46773069824,1788668659.4710085
14950,7838105600,15921053696,2.9846925735473633,2.503565788269043,38169.13230586052,209416.50603177916,46773069824,1788668661.9842741
14951,7838629888,15922102272,3.041252613067627,2.502328395843506,38171.63463425636,209520.061743642,46773069824,1788668664.4992824
14952,7839154176,15923150848,3.05320143699646,2.502884864807129,38174.13751912117,209473.47893303967,46773069824,1788668667.0122247
14953,7839678464,15924199424,3.0810511112213135,2.5053603649139404,38176.642879486084,209266.50207384813,46773069824,1788668669.524844
14954,7840202752,15925248000,3.124868392944336,2.5064423084259033,38179.14932179451,209176.16904147438,46773069824,1788668672.0395617
14955,7840727040,15926296576,2.995148181915283,2.5045244693756104,38181.653846263885,209336.34564596906,46773069824,1788668674.551319
14956,7841251328,15927345152,2.994150161743164,2.5015525817871094,38184.15539884567,209585.0408331008,46773069824,1788668677.059639
14957,7841775616,15928393728,3.018024444580078,2.504021406173706,38186.659420251846,209378.40176100703,46773069824,1788668679.571241
14958,7842299904,15929442304,3.0298378467559814,2.5042223930358887,38189.16364264488,209361.59721996635,46773069824,1788668682.0831995
14959,7842824192,15930490880,2.9993252754211426,2.502793073654175,38191.66643571854,209481.1614747356,46773069824,1788668684.5960107
14960,7843348480,15931539456,3.0520360469818115,2.501307964324951,38194.16774368286,209605.53737392108,46773069824,1788668687.1081903
14961,7843872768,15932588032,3.080519676208496,2.5044305324554443,38196.67217421532,209344.19749545498,46773069824,1788668689.620789
14962,7844397056,15933636608,3.0796680450439453,2.5040948390960693,38199.17626905441,209372.26171084557,46773069824,1788668692.133357
14963,7844921344,15934685184,2.981154203414917,2.502882719039917,38201.67915177345,209473.65851849108,46773069824,1788668694.6445446
14964,7845445632,15935733760,3.0060441493988037,2.5055365562438965,38204.1846883297,209251.78628643573,46773069824,1788668697.1577272
14965,7845969920,15936782336,3.037553071975708,2.500941514968872,38206.685629844666,209636.24973314322,46773069824,1788668699.6667857
14966,7846494208,15937830912,3.071990489959717,2.570345401763916,38209.25597524643,203975.6990014665,46773069824,1788668702.2451997
14967,7847018496,15938879488,3.053767681121826,2.503415822982788,38211.75939106941,209429.0509737681,46773069824,1788668704.7578464
14968,7847542784,15939928064,3.103200674057007,2.5034549236297607,38214.26284599304,209425.77996964072,46773069824,1788668707.2694669
14969,7848067072,15940976640,3.016483783721924,2.700000762939453,38216.96284675598,194180.68587107174,46773069824,1788668709.977699
14970,7848591360,15942025216,3.066495656967163,2.5024337768554688,38219.46528053284,209511.23855865415,46773069824,1788668712.4910572
14971,7849115648,15943073792,3.0776541233062744,2.501781702041626,38221.96706223488,209565.8464414161,46773069824,1788668715.0063434
14972,7849639936,15944122368,3.0687496662139893,2.5027689933776855,38224.469831228256,209483.1769880734,46773069824,1788668717.5165062
14973,7850164224,15945170944,3.066312074661255,2.502739429473877,38226.97257065773,209485.65153273477,46773069824,1788668720.0276983
14974,7850688512,15946219520,3.0796022415161133,2.503288984298706,38229.47585964203,209439.6624954105,46773069824,1788668722.5397966
14975,7851212800,15947268096,3.0788073539733887,2.5033488273620605,38231.97920846939,209434.65579764044,46773069824,1788668725.0512958
14976,7851737088,15948840960,3.0483622550964355,3.8167121410369873,38235.79592061043,137366.39825752037,46773069824,1788668728.879898
14977,7852261376,15949889536,3.0393285751342773,2.501075267791748,38238.29699587822,209625.03877898282,46773069824,1788668731.3895926
14978,7852785664,15950938112,3.106175422668457,2.501485824584961,38240.798481702805,209590.63403327033,46773069824,1788668733.8997974
14979,7853309952,15951986688,3.0611908435821533,2.4998440742492676,38243.298325777054,209728.2808158544,46773069824,1788668736.4120507
14980,7853834240,15953035264,3.066423177719116,2.5015220642089844,38245.79984784126,209587.5976875651,46773069824,1788668738.9217615
14981,7854358528,15954083840,3.1225039958953857,2.5031752586364746,38248.3030230999,209449.17787561918,46773069824,1788668741.433618
14982,7854882816,15955132416,3.0753564834594727,2.502354621887207,38250.80537772179,209517.8658589151,46773069824,1788668743.9441996
14983,7855407104,15956180992,3.0723915100097656,2.502484083175659,38253.30786180496,209507.02684777003,46773069824,1788668746.456733
14984,7855931392,15957229568,3.0307111740112305,2.5015079975128174,38255.809369802475,209588.776258675,46773069824,1788668748.9669373
14985,7856455680,15958278144,3.035978317260742,2.5029525756835938,38258.31232237816,209467.81217251354,46773069824,1788668751.47838
14986,7856979968,15959326720,3.000082492828369,2.5021660327911377,38260.81448841095,209533.6572909843,46773069824,1788668753.9883342
14987,7857504256,15960375296,2.988492965698242,2.502523183822632,38263.31701159477,209503.75340744868,46773069824,1788668756.4999838
14988,7858028544,15961423872,3.002619743347168,2.5023458003997803,38265.81935739517,209518.60446954958,46773069824,1788668759.0129025
14989,7858552832,15962472448,2.98197078704834,2.656306028366089,38268.47566342354,197374.8485307218,46773069824,1788668761.6792028
14990,7859077120,15963521024,3.046280860900879,2.50203537940979,38270.97769880295,209544.5988951904,46773069824,1788668764.1898193
14991,7859601408,15964569600,3.036231517791748,2.5081071853637695,38273.48580598831,209037.318285087,46773069824,1788668766.7091827
14992,7860125696,15965618176,3.028669834136963,2.5041372776031494,38275.989943265915,209368.71340449256,46773069824,1788668769.2216108
14993,7860649984,15966666752,3.0131192207336426,2.5155253410339355,38278.50546860695,208420.87791670038,46773069824,1788668771.747168
14994,7861174272,15967715328,2.990112066268921,2.5023446083068848,38281.007813215256,209518.70428219688,46773069824,1788668774.2584524
14995,7861698560,15968763904,3.0672659873962402,2.503673791885376,38283.51148700714,209407.47221114146,46773069824,1788668776.770107
14996,7862222848,15969812480,3.0139875411987305,2.5009632110595703,38286.0124502182,209634.43111899178,46773069824,1788668779.2798357
14997,7862747136,15970861056,3.039637565612793,2.5020790100097656,38288.51452922821,209540.9449112295,46773069824,1788668781.7933097
14998,7863271424,15971909632,3.061471939086914,2.5023033618927,38291.0168325901,209522.1578583651,46773069824,1788668784.3087268
14999,7863795712,15972958208,3.1101293563842773,2.5034689903259277,38293.52030158043,209424.60323095223,46773069824,1788668786.8198252
15000,7864320000,15974006784,3.0804333686828613,2.503530263900757,38296.02383184433,209419.4775912577,46773069824,1788668789.3316839
15001,7864844288,15975055360,3.0967559814453125,2.500833511352539,38298.52466535568,209645.3033038759,46773069824,1788668990.9928753
15002,7865368576,15976103936,3.071878433227539,2.50250506401062,38301.02717041969,209505.2703548795,46773069824,1788668993.506564
15003,7865892864,15977152512,3.067049503326416,2.4985544681549072,38303.52572488785,209836.53015464093,46773069824,1788668996.0145497
15004,7866417152,15978201088,3.158916711807251,2.5009655952453613,38306.02669048309,209634.23127320706,46773069824,1788668998.5248902
15005,7866941440,15979249664,3.124302387237549,2.5029189586639404,38308.52960944176,209470.625561071,46773069824,1788669001.0418756
15006,7867465728,15980298240,2.974665403366089,2.504582405090332,38311.03419184685,209331.50330148177,46773069824,1788669003.5549252
15007,7867990016,15981346816,3.07232666015625,2.518686056137085,38313.552877902985,208159.3292353799,46773069824,1788669006.0831509
15008,7868514304,15982919680,3.049692153930664,3.8253347873687744,38317.37821269035,137056.76212476744,46773069824,1788669009.9167342
15009,7869038592,15983968256,3.0618436336517334,2.5051655769348145,38319.88337826729,209282.7734929563,46773069824,1788669012.4309354
15010,7869562880,15985016832,3.0988612174987793,2.503507614135742,38322.386885881424,209421.3722537425,46773069824,1788669014.9424615
15011,7870087168,15986065408,3.040754556655884,2.563795804977417,38324.9506816864,204496.78518941885,46773069824,1788669017.514379
15012,7870611456,15987113984,3.0584592819213867,2.5715644359588623,38327.52224612236,203879.00558459392,46773069824,1788669020.096232
15013,7871135744,15988162560,3.0564846992492676,2.506183385848999,38330.02842950821,209197.77976358714,46773069824,1788669022.610682
15014,7871660032,15989211136,3.043407917022705,2.5037248134613037,38332.53215432167,209403.2048494946,46773069824,1788669025.1215227
15015,7872184320,15990259712,3.035928726196289,2.5032331943511963,38335.03538751602,209444.330309741,46773069824,1788669027.6331186
15016,7872708608,15991308288,3.088392972946167,2.50207781791687,38337.53746533394,209541.04474516353,46773069824,1788669030.1431828
15017,7873232896,15992356864,3.050328254699707,2.505441427230835,38340.04290676117,209259.73135978467,46773069824,1788669032.656155
15018,7873757184,15993405440,3.075758695602417,2.5040581226348877,38342.546964883804,209375.3316909112,46773069824,1788669035.1683214
15019,7874281472,15994454016,2.9634599685668945,2.5039522647857666,38345.05091714859,209384.1833062489,46773069824,1788669037.6796472
15020,7874805760,15995502592,2.9968831539154053,2.5045454502105713,38347.5554625988,209334.5920138603,46773069824,1788669040.1913667
15021,7875330048,15996551168,3.017479419708252,2.501246213912964,38350.05670881271,209610.712085717,46773069824,1788669042.6997604
15022,7875854336,15997599744,3.045119285583496,2.5060250759124756,38352.562733888626,209210.99514900107,46773069824,1788669045.2160883
15023,7876378624,15998648320,3.0541257858276367,2.5047032833099365,38355.067437171936,209321.40085956987,46773069824,1788669047.7288926
15024,7876902912,15999696896,3.0234036445617676,2.5106148719787598,38357.578052043915,208828.52477758905,46773069824,1788669050.2477765
15025,7877427200,16000745472,3.027458906173706,2.5075840950012207,38360.085636138916,209080.92416328107,46773069824,1788669052.7643979
15026,7877951488,16001794048,2.999516010284424,2.5077879428863525,38362.5934240818,209063.92882508552,46773069824,1788669055.286274
15027,7878475776,16002842624,3.0233101844787598,2.510683536529541,38365.10410761833,208822.81353734888,46773069824,1788669057.8082392
15028,7879000064,16003891200,3.0242714881896973,2.511354923248291,38367.61546254158,208766.98675544598,46773069824,1788669060.3288622
15029,7879524352,16004939776,3.041320323944092,2.5103235244750977,38370.125786066055,208852.7613625528,46773069824,1788669062.847237
15030,7880048640,16005988352,3.0354161262512207,2.51189923286438,38372.63768529892,208721.7485241801,46773069824,1788669065.3661022
15031,7880572928,16007036928,3.0084095001220703,2.5112791061401367,38375.14896440506,208773.28956311685,46773069824,1788669067.887388
15032,7881097216,16008085504,3.030705451965332,2.5096678733825684,38377.65863227844,208907.3241764683,46773069824,1788669070.4070284
15033,7881621504,16009134080,3.0240607261657715,2.5100371837615967,38380.168669462204,208876.5869254138,46773069824,1788669072.9242783
15034,7882145792,16010182656,3.047121047973633,2.509880542755127,38382.67855000496,208889.62286009142,46773069824,1788669075.443673
15035,7882670080,16011231232,3.0281593799591064,2.506856918334961,38385.185406923294,209141.57332450745,46773069824,1788669077.9617174
15036,7883194368,16012279808,3.066535711288452,2.569913387298584,38387.75532031059,204009.98827089494,46773069824,1788669080.5395858
15037,7883718656,16013328384,3.054107666015625,2.592076063156128,38390.34739637375,202265.66938071395,46773069824,1788669083.1400476
15038,7884242944,16014376960,3.105159282684326,2.5050320625305176,38392.85242843628,209293.92794692537,46773069824,1788669085.6531324
